name,code,close,change_pct,macd,obv,rsi,trend,volume,score,stars,signal,ma20,ma60,sector
华友钴业,603799.SH,59.5,-2.602717302340814,金叉,↓,57.6,下降,正常,3,⭐⭐⭐☆☆,观察,59.84,69.38,其他
福斯特,603806.SH,17.73,-4.265658747300211,死叉,↓,47.4,上升,正常,3,⭐⭐⭐☆☆,观察,18.16,17.42,光伏
乐鑫科技,688018.SH,146.89,-2.721854304635771,金叉,↓,52.0,下降,正常,3,⭐⭐⭐☆☆,观察,145.48,160.89,AI芯片
杰普特,688025.SH,275.6,5.760006139913293,金叉,↑,69.2,上升,正常,4,⭐⭐⭐⭐☆,买入,226.56,201.37,光器件
禾迈股份,688032.SH,113.44,-2.9929878570206943,死叉,↓,44.2,上升,缩量,3,⭐⭐⭐☆☆,观察,122.92,112.86,储能
盛美上海,688082.SH,151.33,0.22518047552818293,金叉,↑,51.0,下降,正常,3,⭐⭐⭐☆☆,观察,147.89,172.43,半导体设备
东芯股份,688110.SH,114.88,0.04354262823303767,死叉,↑,32.5,下降,正常,2,⭐⭐☆☆☆,观察,121.45,127.62,AI芯片
华海清科,688120.SH,182.14,2.0049283154121778,金叉,↑,59.9,下降,正常,3,⭐⭐⭐☆☆,观察,171.73,180.51,半导体设备
优刻得,688158.SH,46.14,0.3479773814702125,死叉,↑,46.5,上升,正常,3,⭐⭐⭐☆☆,观察,43.41,38.59,算力云
炬光科技,688167.SH,389.83,-0.2992327365728941,金叉,↓,68.9,上升,正常,4,⭐⭐⭐⭐☆,买入,337.93,294.37,光器件
恒坤新材,688233.SH,74.38,-1.0377860564129873,金叉,↓,47.9,下降,正常,3,⭐⭐⭐☆☆,观察,72.78,81.63,材料
中科蓝讯,688332.SH,124.69,-3.4084747075683675,金叉,↓,52.8,下降,放量,3,⭐⭐⭐☆☆,观察,120.26,132.63,AI芯片
